club_nom,pays,url,latitude,longitude
AIL ROUSSET,France,https://www.google.com/maps/search/?api=1&query=%22AIL+ROUSSET%22+tennis+de+table+France,47.827751,0.077522
AIRE PING,France,https://www.google.com/maps/search/?api=1&query=%22AIRE+PING%22+tennis+de+table+France,44.702939,4.800304
Airvault PPC,France,https://www.google.com/maps/search/?api=1&query=%22Airvault+PPC%22+tennis+de+table+France,46.824469,-0.135726
AIX EN OTHE SDTDT,France,https://www.google.com/maps/search/?api=1&query=%22AIX+EN+OTHE+SDTDT%22+tennis+de+table+France,48.221356,3.741684
AIX ESPACE EN PEVELE,France,https://www.google.com/maps/search/?api=1&query=%22AIX+ESPACE+EN+PEVELE%22+tennis+de+table+France,43.649239,5.100294
AIX LES MILLES TT,France,https://www.google.com/maps/search/?api=1&query=%22AIX+LES+MILLES+TT%22+tennis+de+table+France,43.649239,5.100294
AIZENAY CPF,France,https://www.google.com/maps/search/?api=1&query=%22AIZENAY+CPF%22+tennis+de+table+France,46.751592,-1.619584
AJ LA BOISSE,France,https://www.google.com/maps/search/?api=1&query=%22AJ+LA+BOISSE%22+tennis+de+table+France,45.846098,5.036798
AJ TAILLAN,France,https://www.google.com/maps/search/?api=1&query=%22AJ+TAILLAN%22+tennis+de+table+France,44.914222,-0.686068
AJLSC CANTON DAMVILLE,France,https://www.google.com/maps/search/?api=1&query=%22AJLSC+CANTON+DAMVILLE%22+tennis+de+table+France,48.864298,1.064596
AJONCS D OR ST-NOLFF,France,https://www.google.com/maps/search/?api=1&query=%22AJONCS+D+OR+ST-NOLFF%22+tennis+de+table+France,47.703292,-2.652379
AL  EYSINES,France,https://www.google.com/maps/search/?api=1&query=%22AL++EYSINES%22+tennis+de+table+France,44.883536,-0.651650
AL BOEN,France,https://www.google.com/maps/search/?api=1&query=%22AL+BOEN%22+tennis+de+table+France,45.743429,4.017010
AL CHAMPEIX TT,France,https://www.google.com/maps/search/?api=1&query=%22AL+CHAMPEIX+TT%22+tennis+de+table+France,45.586742,3.122380
AL CHARREARD VENISSIEUX,France,https://www.google.com/maps/search/?api=1&query=%22AL+CHARREARD+VENISSIEUX%22+tennis+de+table+France,45.695026,4.895704
AL CONCARNEAU,France,https://www.google.com/maps/search/?api=1&query=%22AL+CONCARNEAU%22+tennis+de+table+France,47.862429,-3.902634
AL COULOUNIEIX T T,France,https://www.google.com/maps/search/?api=1&query=%22AL+COULOUNIEIX+T+T%22+tennis+de+table+France,45.178352,0.694315
AL COURS LA VILLE,France,https://www.google.com/maps/search/?api=1&query=%22AL+COURS+LA+VILLE%22+tennis+de+table+France,46.796764,1.723791
AL CROIX ROUSSE,France,https://www.google.com/maps/search/?api=1&query=%22AL+CROIX+ROUSSE%22+tennis+de+table+France,45.778976,4.837213
AL DARNETAL,France,https://www.google.com/maps/search/?api=1&query=%22AL+DARNETAL%22+tennis+de+table+France,49.440873,1.141016
AL ECHIROLLES-EYBENS TT,France,https://www.google.com/maps/search/?api=1&query=%22AL+ECHIROLLES-EYBENS+TT%22+tennis+de+table+France,45.148433,5.747704
AL FRAISSES TT,France,https://www.google.com/maps/search/?api=1&query=%22AL+FRAISSES+TT%22+tennis+de+table+France,45.391711,4.266874
AL GAVRAY,France,https://www.google.com/maps/search/?api=1&query=%22AL+GAVRAY%22+tennis+de+table+France,48.909448,-1.352016
AL GERZAT,France,https://www.google.com/maps/search/?api=1&query=%22AL+GERZAT%22+tennis+de+table+France,45.819897,3.146757
AL GRAY,France,https://www.google.com/maps/search/?api=1&query=%22AL+GRAY%22+tennis+de+table+France,111.000000,222.000000
AL GUILERS,France,https://www.google.com/maps/search/?api=1&query=%22AL+GUILERS%22+tennis+de+table+France,48.426488,-4.551490
AL IRIGNY TT,France,https://www.google.com/maps/search/?api=1&query=%22AL+IRIGNY+TT%22+tennis+de+table+France,45.671874,4.814521
AL KERNEVEL,France,https://www.google.com/maps/search/?api=1&query=%22AL+KERNEVEL%22+tennis+de+table+France,47.870751,-3.811540
AL LONS LE SAUNIER,France,https://www.google.com/maps/search/?api=1&query=%22AL+LONS+LE+SAUNIER%22+tennis+de+table+France,46.670469,5.561349
AL PLOUZANE TT,France,https://www.google.com/maps/search/?api=1&query=%22AL+PLOUZANE+TT%22+tennis+de+table+France,48.380575,-4.598656
AL PLUGUFFAN,France,https://www.google.com/maps/search/?api=1&query=%22AL+PLUGUFFAN%22+tennis+de+table+France,47.982791,-4.181149
AL TT CHARLIEU,France,https://www.google.com/maps/search/?api=1&query=%22AL+TT+CHARLIEU%22+tennis+de+table+France,46.161988,4.170850
AL VAISE SERIN,France,https://www.google.com/maps/search/?api=1&query=%22AL+VAISE+SERIN%22+tennis+de+table+France,45.777529,4.802347
AL VILLECRESNES TENNIS DE TABLE,France,https://www.google.com/maps/search/?api=1&query=%22AL+VILLECRESNES+TENNIS+DE+TABLE%22+tennis+de+table+France,47.178092,2.160656
ALA GONDOMAR,Portugal,https://www.google.com/maps/search/?api=1&query=%22ALA+GONDOMAR%22+t%C3%A9nis+de+mesa+Portugal,41.134276,-8.534048
ALBACETE,Espagne,https://www.google.com/maps/search/?api=1&query=%22ALBACETE%22+tenis+de+mesa+Espa%C3%B1a,38.995092,-1.855915
ALBERT U.S.O.A TT,France,https://www.google.com/maps/search/?api=1&query=%22ALBERT+U.S.O.A+TT%22+tennis+de+table+France,49.999335,2.661298
ALBIGNY TENNIS DE TABLE,France,https://www.google.com/maps/search/?api=1&query=%22ALBIGNY+TENNIS+DE+TABLE%22+tennis+de+table+France,45.860868,4.831711
ALC LONGVIC,France,https://www.google.com/maps/search/?api=1&query=%22ALC+LONGVIC%22+tennis+de+table+France,47.296379,5.060289
ALCATEL ATLANTIQUE,France,https://www.google.com/maps/search/?api=1&query=%22ALCATEL+ATLANTIQUE%22+tennis+de+table+France,47.302321,-1.560549
ALCL TT GRAND QUEVILLY,France,https://www.google.com/maps/search/?api=1&query=%22ALCL+TT+GRAND+QUEVILLY%22+tennis+de+table+France,49.405210,1.052620
ALCOBENDAS,Espagne,https://www.google.com/maps/search/?api=1&query=%22ALCOBENDAS%22+tenis+de+mesa+Espa%C3%B1a,40.540008,-3.635849
ALCUDIA,Espagne,https://www.google.com/maps/search/?api=1&query=%22ALCUDIA%22+tenis+de+mesa+Espa%C3%B1a,39.853247,3.121250
ALE PELOUSEY,France,https://www.google.com/maps/search/?api=1&query=%22ALE+PELOUSEY%22+tennis+de+table+France,47.273706,5.917069
ALENCON ALC,France,https://www.google.com/maps/search/?api=1&query=%22ALENCON+ALC%22+tennis+de+table+France,48.434245,0.109428
ALENCON ETOILE,France,https://www.google.com/maps/search/?api=1&query=%22ALENCON+ETOILE%22+tennis+de+table+France,48.434404,0.100071
ALES CEVENNES TENNIS DE TABLE,France,https://www.google.com/maps/search/?api=1&query=%22ALES+CEVENNES+TENNIS+DE+TABLE%22+tennis+de+table+France,44.129973,4.077700
